Adat,അടാട്ട്
Adichanalloor,ആദിച്ചനല്ലൂര്‍
Adimaly,അടിമാലി
Adimaly,അടിമാലി
Adoor,അടൂര്‍
Agali,അഗളി
Aikaranad,ഐക്കരനാട്
Ajanur,അജാനൂര്‍
Akalakunnam,അകലക്കുന്നം
Akathethara,അകത്തേത്തറ
Ala,ആല
Alagappanagar,അളഗപ്പനഗര്‍
Alakode,ആലക്കോട്
Alakode,ആലക്കോട്
Alamkode,ആലംകോട്
Alanallur,അലനല്ലൂര്‍
Alangad,ആലങ്ങാട്
Alangad,ആലങ്ങാട്
Alappad,ആലപ്പാട്
Alappuzha,ആലപ്പുഴ
Alathur,ആലത്തൂര്‍
Alathur,ആലത്തൂര്‍
Alayamon,അലയമണ്‍
Aliparamba,ആലിപ്പറമ്പ്
Aloor,ആളൂര്‍
Aluva,ആലുവ
Amarambalam,അമരമ്പലം
Ambalappara,അമ്പലപ്പാറ
Ambalapuzha,അമ്പലപ്പുഴ
Ambalapuzha North,അമ്പലപ്പുഴ വടക്ക്
Ambalapuzha South,അമ്പലപ്പുഴ തെക്ക്
Ambalavayal,അമ്പലവയല്‍
Amballoor,ആമ്പല്ലൂര്‍
Amboori,അമ്പൂരി
Anad,ആനാട്
Anakkara,ആനക്കര
Anakkayam,ആനക്കയം
Ananganadi,അനങ്ങനടി
Anchal,അഞ്ചല്‍
Anchal,അഞ്ചല്‍
Anchuthengu,അഞ്ചുതെങ്ങ്
Andoorkonam,അണ്ടൂര്‍ക്കോണം
Angadippuram,അങ്ങാടിപ്പുറം
Angamaly,അങ്കമാലി
Angamaly,അങ്കമാലി
Anicadu,ആനിക്കാട്
Anjarakandy,അഞ്ചരക്കണ്ടി
Annamanada,അന്നമനട
Anthikad,അന്തിക്കാട്
Anthikad,അന്തിക്കാട്
Arakulam,അറക്കുളം
Arakuzha,ആരക്കുഴ
Aralam,ആറളം
Aranmula,ആറന്മുള
Arattupuzha,ആറാട്ടുപുഴ
Areacode,അരീക്കോട്
Areacode,അരീക്കോട്
Arikkulam,അരിക്കുളം
Arimpur,അരിമ്പൂര്‍
ARNagar,അബ്ദുറഹിമാന്‍ നഗര്‍
Arookutty,അരൂക്കുറ്റി
Aroor,അരൂര്‍
Arpookara,ആര്‍പ്പൂക്കര
Aruvappulam,അരുവാപ്പുലം
Aruvikkara,അരുവിക്കര
Aryad,ആര്യാട്
Aryad,ആര്യാട്
